1,OL3.2,ALH 77176,1026.34,,look for CAIs,,,,,,,,
1,EH3,ALHA 77295,135.84,CAI,1,2566.12,0.00256612,62.77,65.85,28.58008686,wand,hard to make out with other chondrules,
1,EH3,ALHA 77295,1,CAI,3,7233.15,0.00723315,130.69,93.27,47.98315489,wand,defined CAI,
1,EH3,ALHA 77295,1,CAI,4,4393.11,0.00439311,80,89.48,37.39479033,wand,some metals mixed in with the CAI,
1,EH3,ALHA 77295,1,CAI,6,2777.85,0.00277785,78.48,88.32,29.73578849,wand,image outline -->,
1,EH3,ALHA 77295,1,CAI,10,410.6,0.0004106,26,22.5,11.43232432,,,
1,EH3,ALHA 77295,1,CAI,11,1234.1,0.0012341,43.4,39.6,19.81984436,,,
1,EL4,DaG 734,71.81,,haven't searched,NaN,,,,#VALUE!,,,
1,EL3,EET 90992,1,Chondrule,a,NaN,,,,#VALUE!,,,
2,EL3,EET 90992,38.65,CAI,b,3192.2,0.0031922,115.52,103.23,31.87646183,wand,kinda hook shaped,
2,OL3.2,GunlockA ,212.8,,no inclusions,NaN,,,,#VALUE!,,,
2,OL3.2,GunlockC,194.12,,no inclusions,NaN,,,,#VALUE!,,,
2,OLL3,HDL 001,81.99,CAI,B,3199.42,0.00319942,84.78,65.07,31.91248997,draw,,
2,OLL3,HDL 001,1,CAI,C (irony spinel),1967.02,0.00196702,68.05,72.91,25.02242819,draw,,
2,OLL3,HDL 001,1,CAI,C (less irony spinel),932.27,0.00093227,34.72,73.61,17.22645517,draw,,
1,OLL3,HDL 001,1,CAI,D,2,0.00001,2,2,,,,
1,OL3.6,Julesburg,1,chondrule,a,554948.58,0.55494858,764.67,960.74,420.2923023,draw,used tablet and pen,
1,OL3.6,Julesburg,1,chondrule,b,35426.76,0.03542676,213.33,433.33,106.1917508,draw,used tablet and pen,
1,OL3.6,Julesburg,1,chondrule,c,15023.25,0.01502325,200.92,131.65,69.15236075,draw,used tablet and pen,
2,OL3.6,Julesburg,54.49,,haven't searched,NaN,,,,#VALUE!,,,
